	8x8	12x12			12x12				16x16				20x20	
	pure  Z4				pure  Z4				pure  Z4				pure  Z4	
g	energy	MCerror		g	energy	MCerror			energy	MCerror			energy	MCerror
0.459999999999999	-0.419743557876189	2.22263344246805E-5		0.439999999999999	-0.485431454203864	1.47970152616644E-5		0.4	-0.562719878326404	1.04959168198552E-5		0.37	-0.629485552155018	1.13408959725647E-5
0.469999999999999	-0.410701049515197	2.13714255075415E-5		0.449999999999999	-0.474317315426417	1.32668434624003E-5		0.41	-0.548353943862344	1.65463470776209E-5		0.38	-0.611816153414867	8.31527408483087E-6
0.479999999999999	-0.402024409512685	3.40398415376147E-5		0.459999999999999	-0.463594783371858	2.44740845041735E-5		0.42	-0.534535633181811	1.67226237767033E-5		0.39	-0.595127283946511	1.21529892623456E-5
0.489999999999999	-0.393752786483351	1.08531186685962E-5		0.469999999999999	-0.453450763221952	1.64119148180218E-5		0.429999999999999	-0.521688099681115	2.19541422939296E-5		0.4	-0.579443988940301	5.26015326873988E-6
0.499999999999999	-0.385631969514842	6.66498378329186E-5		0.479999999999999	-0.443674146339679	2.79281158927205E-5		0.439999999999999	-0.509244519245366	9.56553339663149E-6		0.41	-0.56450453883412	8.70863199308222E-6
0.55	-0.350241666923989	3.03635093364204E-5		0.489999999999999	-0.434378656297766	3.12950022070703E-5		0.449999999999999	-0.497586900161914	1.99550818664E-5		0.42	-0.550362385090309	5.56337398561258E-6
0.6	-0.320749060554635	4.54927815547349E-5		0.499999999999999	-0.425531574159966	1.51180480303729E-5		0.459999999999999	-0.486346722337035	1.78824323441675E-5		0.429999999999999	-0.536894503403302	6.63852569703107E-6
0.650000000000001	-0.295900635852336	1.70197655333787E-5		0.52	-0.40880179088937	2.04708404746047E-5		0.469999999999999	-0.475663570802164	1.96682204657835E-5		0.439999999999999	-0.524109003200089	5.4002582822233E-6
0.700000000000002	-0.27456554701117	2.99537258357052E-5		0.55	-0.386023641846471	1.23077574676988E-5		0.479999999999999	-0.465448690557598	1.35178233986283E-5		0.449999999999999	-0.511925412831298	1.13415264922142E-5
0.750000000000003	-0.256148795073187	1.11504209253236E-5		0.58	-0.365673839262998	1.82990902791714E-5		0.489999999999999	-0.455535767930226	1.94468720281244E-5		0.459999999999999	-0.500302098751491	4.81141396075348E-6
0.800000000000005	-0.240039668760957	1.32070483379409E-5		0.6	-0.352953679094044	4.56722058907948E-5		0.5	-0.446088533185358	2.10660600973715E-5		0.469999999999999	-0.489236156927792	5.74220252493574E-6
				0.62	-0.341553030178388	3.38154809445924E-5		0.52	-0.428479063815544	2.15125211158462E-5		0.48	-0.478682598028229	1.10396252008554E-5
				0.65	-0.325614749441726	2.28528575312226E-5		0.55	-0.404554568720713	2.07701264011572E-5		0.5	-0.45878127634517	9.11153139497502E-6
				0.68	-0.311050966184806	2.30445222420594E-5		0.58	-0.383149182316415	8.97690605318083E-6		0.52	-0.440606784650438	5.07582070553661E-6
				0.7	-0.301898692718003	5.27656790287162E-5		0.6	-0.370104296235533	1.13940537297468E-5		0.55	-0.415879837790344	9.36464051955882E-6
								0.62	-0.357931516269353	1.02370843099811E-5		0.58	-0.393830467459627	7.60878639176881E-6
								0.65	-0.341102791261402	8.00041308528665E-6		0.6	-0.380401981011541	5.30802867648848E-6
								0.68	-0.325806587964014	7.68311767291089E-6		0.62	-0.367859082697322	3.77881949347275E-6
								0.7	-0.316345866156134	4.31291723435695E-6		0.65	-0.350535931315852	5.11383459497807E-6
												0.68	-0.334787141958202	4.81740572485705E-6
												0.7	-0.325058433357303	4.49329292557341E-6
