	8x8  Z3	8x8 Z3			12x12 Z3	12x12 Z3			16x16 Z3	16x16 Z3			20x20 Z3	20x20 Z3			24x24 Z3	24x24 Z3			
g	1st Derivative	2nd Derivative		g	1st Derivative	2nd Derivative		g	1st Derivative	2nd Derivative		g	1st Derivative	2nd Derivative		g	1st Derivative	2nd Derivative			
0.27	2.68557171806901	-6.5723504774727		0.27	2.99392995498961	-4.80136167961862		0.27	3.14396844717908	-4.27199721496583		0.27	3.23155272591874	-3.80310733127229		0.27	3.29499509778515	-3.91668070384578			
0.28	2.61984821329428	-7.32426592038421		0.28	2.94591633819343	-5.57567053460615		0.28	3.10124847502942	-4.68602580445097		0.28	3.19352165260602	-4.01463028172124		0.28	3.25582829074669	-3.92818579178329			
0.29	2.54660555409044	-7.82730391000198		0.29	2.89015963284736	-6.24055918459846		0.29	3.05438821698491	-5.16448922462064		0.29	3.15337534978881	-4.392137286945		0.29	3.21654643282886	-4.05526226252468			
0.3	2.46833251499042	-9.79591597729206		0.3	2.82775404100138	-6.79722392252572		0.3	3.0027433247387	-5.67101982052452		0.3	3.10945397691936	-4.90371053293159		0.3	3.17599381020361	-4.43584537488906			
0.31	2.3703733552175	-9.96680939955015		0.31	2.75978180177612	-7.72571766852024		0.31	2.94603312653346	-6.55211963615188		0.31	3.06041687159004	-5.71231634841738		0.31	3.13163535645472	-5.14530873193453			
0.32	2.270705261222	-11.4967434000498		0.32	2.68252462509092	-9.21456176108323		0.32	2.88051193017194	-7.47967514151012		0.32	3.00329370810587	-7.1533228817846		0.32	3.08018226913538	-5.76916777934209			
0.33	2.1557378272215	-12.631148849346		0.33	2.59037900748008	-10.8570453973193		0.33	2.80571517875684	-9.49313350084591		0.33	2.93176047928802	-7.56112402977104		0.33	3.02249059134195	-7.50952325401658			
0.340000000000001	2.02942633872803	-12.8659077186795		0.340000000000001	2.48180855350689	-14.0206049178688		0.34	2.71078384374838	-10.9568466700305		0.34	2.85614923899031	-9.25928910051152		0.34	2.94739535880179	-8.47770141711356			
0.350000000000001	1.90076726154124	-13.5193704369429		0.350000000000001	2.3416025043282	-16.1491627915927		0.35	2.60121537704807	-14.1967683078966		0.35	2.7635563479852	-11.06542122705		0.35	2.86261834463065	-10.8004428416191			
0.360000000000001	1.76557355717181	-12.4638338700273		0.355	2.26085669037025	-17.091293370926		0.355	2.53023153550859	-18.3440677916959		0.355	2.70822924184994	-13.8057664470885		0.36	2.75461391621446	-14.2712851169702			
0.370000000000001	1.64093521847153	-11.5292226494182		0.360000000000001	2.1754002235156	-19.4652070934428		0.36	2.43851119655011	-19.0817610538979		0.36	2.6392004096145	-16.2413814613042		0.365	2.68325749062961	-18.1229502411052			
0.380000000000001	1.52564299197735	-10.9178684451599		0.365	2.0780741880484	-18.3656428329384		0.365	2.34310239128062	-24.9781157732788		0.365	2.55799350230798	-27.3271593130136		0.37	2.59264273942409	-35.2404524880326			
0.390000000000001	1.41646430752575	-9.2065529314603		0.370000000000001	1.98624597388369	-17.953804499369		0.37	2.21821181241423	-22.9006899249374		0.37	2.42135770574292	-29.8680646855442		0.375	2.41644047698392	-39.2926039286884			
0.400000000000002	1.32439877821114	-8.91906733198376		0.375	1.89647695138687	-17.7677144278149		0.375	2.10370836278954	-23.4816369030017		0.375	2.27201738231519	-33.4876815927694		0.38	2.21997745734049	-31.3837443459794			
0.41	1.23520810489132	-7.98212687033283		0.380000000000001	1.80763837924777	-14.7971238749526		0.38	1.98630017827454	-18.2411091775908		0.38	2.10457897435135	-23.848152350033		0.385	2.06305873561058	-25.6725661115637			
0.42	1.15538683618799	-6.71974328900983		0.385	1.73365275987303	-14.531962359611		0.385	1.89509463238658	-18.8406108291243		0.385	1.98533821260118	-20.8841851243032		0.39	1.93469590505276	-17.3731872810346			
0.43	1.08818940329789	-6.37316783721508		0.390000000000001	1.66099294807495	-13.0835004057602		0.39	1.80089157824095	-15.7459393087169		0.39	1.88091728697966	-16.6060953549299		0.4	1.76096403224241	-14.0599674433231			
0.44	1.02445772492574	-6.023378293035		0.400000000000002	1.53015794401735	-10.2773656884809		0.4	1.64343218515379	-11.7476566339727		0.4	1.71485633343037	-13.3411074434413		0.41	1.62036435780918	-11.7735740178285			
0.45	0.964223941995392	-5.20018026677399		0.42	1.32461063024775	-8.04550637503951		0.41	1.52595561881406	-11.227087654903		0.41	1.58144525899595	-11.3866808992498		0.42	1.5026286176309	-10.5586908512644			
