	8x8				12x12				16x16				20x20				24x24	
	pure  Z3				pure  Z3				pure Z3				pure Z3				pure Z3	
g	energy	MCerror		g	energy	MCerror		g	energy	MCerror		g	energy	MCerror		g	energy	MCerror
0.31	-0.569942690952278	1.31273902012529E-5		0.31	-0.648185510281006	2.48223175462904E-5		0.31	-0.690824734659613	1.59075400217857E-5		0.31	-0.717433621532968	8.21874525488692E-6		0.31	-0.735670812054593	8.12914070446823E-6
0.32	-0.546679253275467	2.24211571684528E-5		0.32	-0.620971349293401	2.59537558681292E-5		0.32	-0.661645509346463	2.59169652851019E-5		0.32	-0.68713808108168	1.44289830603619E-5		0.32	-0.704627607143313	8.64900887674357E-6
0.33	-0.524593327301724	1.1074835440058E-5		0.33	-0.594619930930219	2.75862699300069E-5		0.33	-0.633262137367962	2.40102487288175E-5		0.33	-0.657500747539306	1.58307171834633E-5		0.33	-0.674134733278939	1.36680556082918E-5
0.340000000000001	-0.503629362378006	8.47187883327928E-6		0.340000000000001	-0.569223621160623	2.43185921641888E-5		0.34	-0.605753842030661	1.24066699295186E-5		0.34	-0.628519547090044	1.73764137963156E-5		0.34	-0.644349247980157	1.40008983559169E-5
0.350000000000001	-0.483986150224489	1.22957151890121E-5		0.350000000000001	-0.545107403976412	2.32228442670139E-5		0.35	-0.579210929628664	2.04616158224772E-5		0.35	-0.600384335056179	2.47475249001059E-5		0.35	-0.615243996645389	1.73898517465873E-5
0.360000000000001	-0.465641259941989	2.1030155322099E-5		0.355	-0.533681956527193	3.33961313101008E-5		0.355	-0.56638077063264	1.70869021827621E-5		0.355	-0.58671641108711	2.27666734516194E-5		0.36	-0.58703916223527	1.93793630600046E-5
0.370000000000001	-0.448630675499379	1.58652352909022E-5		0.360000000000001	-0.522482296885479	3.09800201249341E-5		0.36	-0.553921891460299	2.19326790811353E-5		0.36	-0.573296911708486	2.97045420530218E-5		0.365	-0.573416993410763	2.5301776139422E-5
0.380000000000001	-0.432774062216457	2.64698083946168E-5		0.365	-0.51195572916498	1.80450791668291E-5		0.365	-0.542002457374543	1.46885629316836E-5		0.365	-0.560305808232261	2.6295833234406E-5		0.37	-0.560267272546621	2.13324188612341E-5
0.390000000000001	-0.418078234014931	9.71068094097536E-6		0.370000000000001	-0.501794829116349	3.38933562663804E-5		0.37	-0.530521348677059	1.86425193342893E-5		0.37	-0.547726061619014	3.14582953590055E-5		0.375	-0.548401028836804	6.07002501173345E-6
0.400000000000002	-0.404328688093754	2.37657878480153E-5		0.375	-0.492108649130115	2.38455700753106E-5		0.375	-0.519715431935433	2.34150965963089E-5		0.375	-0.536024147380748	4.15626355177863E-5		0.38	-0.535704621263215	4.60412777258128E-5
