Fig3-a	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--																
g=0.4	odd -Z2-32x32	Plaquette	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
--	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
11	1.85093173425	1.82679551675	1.85664513375	1.854739196125	1.8542218035	1.8544844335	1.84956207925	1.852352636125	1.8572222245	1.859826963375	1.856770969875	1.85702764025	1.856160742625	1.854670642	1.8569971415	1.855312616	1.857998219	1.859743394	1.857885945875	1.858009064375	1.8596776205	1.862110180875	1.858331310875	1.8573465565	1.856226459125	1.856271201625	1.853995465125	1.85444561525	1.85396003525	1.822553703	1.851714247125
12	1.849580236625	1.82628298275	1.858286541	1.855494371875	1.856531357625	1.8578336835	1.857363954875	1.85689181325	1.859056156625	1.857462723875	1.856184281875	1.85711988375	1.860517832	1.85820589375	1.85988841825	1.857099304875	1.85531513125	1.855974441	1.85473308025	1.85844902725	1.85688405425	1.859014858125	1.854412705875	1.8554876015	1.852859535875	1.85537442475	1.85645885375	1.858842331	1.8595981915	1.823629093875	1.855721300375
13	1.851634104125	1.8267539275	1.85347817075	1.85507694775	1.85854094375	1.862332943375	1.860704867625	1.856839348	1.857322134875	1.855406530875	1.85566986475	1.859573304	1.8588454765	1.855282466375	1.853864717375	1.85532377325	1.852483201875	1.853079240625	1.857535718625	1.85851808175	1.85713879225	1.85861458125	1.85850069225	1.858482364625	1.856303076625	1.861486481625	1.861538942875	1.85471779	1.857208558125	1.824806959125	1.85335783625
14	1.849271255125	1.824935979125	1.853688533125	1.851734936875	1.853145973875	1.86077183525	1.85576974625	1.8564810505	1.8594489265	1.8569116525	1.85339098375	1.85754426825	1.85816558575	1.85646142025	1.856897075125	1.859245261625	1.85737282325	1.855444355	1.85928292525	1.859340711125	1.85751771125	1.8599147415	1.85941682	1.85543916025	1.857240814375	1.859133208625	1.858118220875	1.85094387075	1.854386941625	1.8267754075	1.849942832125
15	1.8501272135	1.825247564375	1.857398046125	1.856287600875	1.854667939125	1.857615414875	1.85399975175	1.851742433125	1.857241641	1.8578026635	1.855011545625	1.8568441415	1.85669613875	1.853620486375	1.856202325375	1.853992810125	1.8555455785	1.857432364375	1.858385599	1.85710110075	1.854087940625	1.85582133825	1.857371541125	1.854093084	1.859212681625	1.8570563485	1.85988474525	1.855354379375	1.854746703875	1.82835751675	1.849945394875
16	1.846494112375	1.829711184	1.857738438375	1.857672286875	1.85950357525	1.856102592125	1.8610749175	1.859168356375	1.86223977175	1.85503621075	1.857477589875	1.85477888325	1.858591541375	1.8552826985	1.85752831725	1.856656398	1.85608288575	1.858982588375	1.857296792375	1.853527039125	1.858510693125	1.8580444545	1.8552085445	1.852530207	1.8584208465	1.854969105125	1.857710538125	1.857898528375	1.8552553845	1.82791846975	1.84704139825
17	1.84859326425	1.82924966275	1.85472597875	1.855284257375	1.856726963625	1.853231155625	1.85654921275	1.855832454	1.856437364875	1.852009391375	1.858061103	1.85477329375	1.859377363	1.85874883625	1.855527950125	1.857317190375	1.862421956875	1.860996617	1.86027042975	1.852990352	1.85615329875	1.860834567375	1.85860052475	1.854459713	1.85750352575	1.858925141375	1.856184225	1.856348993625	1.856417981125	1.825129851375	1.848295853125
18	1.847734061375	1.82820010675	1.855592299125	1.855760258	1.85741562725	1.850993250625	1.853769603	1.85677497025	1.853796993625	1.85718505975	1.859552026375	1.85630773475	1.858308475375	1.858592552	1.85421892125	1.853600079125	1.857273682375	1.855895814625	1.8568659225	1.856095497125	1.858912648	1.862426296375	1.8556554165	1.858062576875	1.85728214625	1.86217536925	1.859217816875	1.8592870575	1.856652304375	1.827392944	1.850116850625
19	1.848552294875	1.825267075	1.85750639225	1.856330933375	1.85468341275	1.8565978485	1.85924438275	1.860259542375	1.856180695375	1.85931023825	1.85507222475	1.857673632125	1.8594840085	1.862419179375	1.857574629875	1.859236545375	1.85547581075	1.85808247475	1.859739088875	1.85711941975	1.856794643125	1.857012640625	1.8553697645	1.854267833125	1.85561267175	1.853982392125	1.853832919625	1.856277319	1.853165220375	1.826525087375	1.850775480375
20	1.850726638875	1.8251438695	1.85677459175	1.858466588875	1.859224430125	1.861309628375	1.8564198705	1.85726501325	1.8534086725	1.855001865125	1.855083586375	1.85433570625	1.857283497875	1.861617341375	1.85452857275	1.855748736	1.857844284875	1.855283374375	1.8529201685	1.85787811875	1.85541865175	1.8580999225	1.860584350375	1.858041481875	1.855233258375	1.84949715125	1.850464484	1.848806916875	1.85513690125	1.827490121125	1.851984251
21	1.850450578875	1.828856946125	1.8603290925	1.85875259725	1.863122604125	1.859340411	1.855664956	1.857856652	1.85864796275	1.85599446775	1.855950397125	1.854630808875	1.85734633825	1.856382848125	1.85376325675	1.8569269585	1.858604882625	1.859928680375	1.8568565845	1.858455014375	1.84955641475	1.854060629	1.8562414075	1.857468707875	1.858779628625	1.85427098475	1.855196909375	1.8554502805	1.855078966875	1.826731423375	1.849295042375
22	1.853363334125	1.829373664	1.861766773875	1.855749300875	1.86146543575	1.853296214625	1.853062214875	1.858210824125	1.858294049125	1.853183488	1.8570034275	1.855268553125	1.85935682925	1.857970661	1.853565584375	1.855616601375	1.859424889	1.859937193875	1.858314887	1.853216589	1.8574695375	1.859873627375	1.860392909625	1.85931003675	1.858185268	1.856107808375	1.856099958625	1.855941634	1.85799308175	1.827538355625	1.8503948875
23	1.850292460125	1.82250467775	1.857187969375	1.851033733875	1.854246278125	1.85860553125	1.857659170875	1.862647332375	1.860257785375	1.855492090625	1.857814919375	1.861361401375	1.860345792875	1.851361624875	1.858274366125	1.85829949675	1.85563553075	1.8573946545	1.857318606125	1.854680410625	1.854925016125	1.854670803625	1.855903658	1.854246890875	1.856489238	1.8596784305	1.85858504875	1.85651146525	1.85848893875	1.828297599	1.84840750225
24	1.85423254425	1.830473704875	1.8605619145	1.857431306125	1.859740832125	1.856998349375	1.85324764875	1.861060341875	1.859048538875	1.857701619875	1.85564993325	1.860243676625	1.85953165075	1.856090215625	1.856751197625	1.85524449825	1.85371356625	1.860857620375	1.85493250975	1.8571898115	1.85809384825	1.858443544375	1.85634120325	1.85643377075	1.8596445515	1.85774082325	1.854409592125	1.85668325425	1.8588030405	1.828968817625	1.850048908375
25	1.851323689	1.8241888115	1.858542178375	1.853791238	1.857692329875	1.855211151875	1.852551143875	1.854440808375	1.85802393925	1.86009036575	1.8609375175	1.86229779375	1.856355964625	1.8524652655	1.85156004675	1.85209991775	1.852015358125	1.85786729525	1.856806824	1.8541053925	1.85922307475	1.858080038625	1.854126883625	1.856439185875	1.854807836375	1.860908449625	1.85740665075	1.861182619125	1.8613773165	1.835926044625	1.855280607375
