odd_Z2	12x12		12x12			odd_Z2	16x16		16x16			odd_Z2	20x20		20x20			odd_Z2	24x24		24x24			odd_Z2	32x32		32x32		
g	dimerX^2	MCerror	dimerY^2	MCerror		g	dimerX^2	MCerror	dimerY^2	MCerror		g	dimerX^2	MCerror	dimerY^2	MCerror		g	dimerX^2	MCerror	dimerY^2	MCerror		g	dimerX^2	MCerror	dimerY^2	MCerror	
0.5	0.0618809990770536	4.34601419875289E-4	0.0619715269136609	7.38348273630362E-4		0.5	0.0314677068867283	2.1721247206714E-4	0.0315101003901136	2.41169337257211E-4		0.64	0.0631673488702087	7.34527393354772E-4	0.062371229937986	6.71270423184207E-4		0.64	0.0479344591883248	5.60308807879319E-4	0.048293791870417	8.22070853612964E-4		0.62	0.020505066059799	1.56074328033457E-4	0.0208424045700962	1.66196428244378E-4	
0.55	0.0830010947547509	7.00371628391264E-4	0.0837717988692671	6.05770167123444E-4		0.55	0.0431681878874285	2.02262295437002E-4	0.0432062671301374	1.62599584382684E-4		0.65	0.0695461791416504	7.23485374277733E-4	0.0690028378202509	7.74915979320689E-4		0.65	0.0540396625280836	7.14992909998248E-4	0.05448035343131	9.1638521329346E-4		0.64	0.0314789617148815	2.91230822526624E-4	0.0314053034354268	2.98999127827124E-4	
0.6	0.114922714641514	7.33733902841044E-4	0.11499579975709	6.52248500863288E-4		0.6	0.0649996102219848	2.54537922457007E-4	0.0651318144144795	2.67104179964167E-4		0.66	0.0761044018588111	7.75025133929086E-4	0.0760521533313228	7.21867600022857E-4		0.66	0.0600085935902953	5.8952795748451E-4	0.0609154922450195	9.46513136563284E-4		0.65	0.0372781878578047	2.8065075111638E-4	0.0379374037829429	2.09801838542445E-4	
0.62	0.128180222168747	0.0016964759740273	0.128566834024339	0.00166021542044184		0.62	0.0766268533984993	6.96623518350107E-4	0.0765556159288629	5.97700959044944E-4		0.68	0.0893961933005035	6.65636810280457E-4	0.0892911010161369	8.009095009342E-4		0.68	0.073533877576929	8.33240508090201E-4	0.0738138700402422	8.78863240315819E-4		0.66	0.0433947221721752	1.56428609576194E-4	0.0428914026877451	3.39971325002556E-4	
0.64	0.143625942299406	0.00165503495219659	0.14353704877844	0.00176589086063159		0.64	0.0896393168889382	0.00102660183661009	0.089186291980837	7.9523309796154E-4		0.7	0.102909405373162	7.05781838553308E-4	0.103037940766001	0.00106535970502014		0.7	0.086991103906433	6.03110004204788E-4	0.0864111325501976	7.21704189409155E-4		0.68	0.0554510807339716	1.04238566619194E-4	0.0542900868530398	2.03788155784413E-4	
0.65	0.15301130306314	4.91514773738499E-4	0.153197326520974	0.00118478148590074		0.65	0.0969695196426344	3.6141243214663E-4	0.097384281521567	3.45174040060107E-4		0.75	0.135533701612354	0.00145948855217265	0.13581447868456	0.00106624673600925		0.75	0.118103847851063	0.00163973555159882	0.117464153424953	0.00172264454751283		0.7	0.0680339139046755	4.07227235545963E-4	0.067340892907738	2.31493348958937E-4	
0.66	0.15969452686282	0.00163662105921728	0.15869231773352	0.00178616515934238		0.66	0.103977795487103	6.998877671184E-4	0.1036248478293	0.00100536813117872		0.8	0.165818363372933	0.00117628504841922	0.165880360874963	0.00147202219591709		0.8	0.14797481578214	0.00125072574219583	0.147178361642057	0.0012342050885651		0.75	0.0982554730914647	4.03544073472203E-4	0.0968280171076	5.46618714574632E-4	
0.68	0.172741562350717	0.00225750184173407	0.172663371605911	0.00151965961821037		0.68	0.118253952033903	9.80000766107137E-4	0.11763054015252	0.00108487558494272		0.85	0.193446358722973	9.22800662565403E-4	0.192838974266986	0.00127276527288619		0.85	0.173399330555223	0.00156170574135352	0.17433953724833	0.00147321401158911		0.8	0.125722260908616	6.75194841707493E-4	0.124316844392396	6.31945045193291E-4	
0.7	0.188390888651072	0.00170657991525887	0.190114731797096	0.00235459739432589		0.7	0.132635291928467	3.05887482743131E-4	0.133050980294307	3.63082832925325E-4		0.9	0.21822199570837	0.00163093045251158	0.218275004891269	0.00135097776070755		0.9	0.198230014058879	0.00190344061715871	0.199039669561722	0.00139781673956243		0.85	0.151148570722135	5.13910899193506E-4	0.150148424884309	6.06244319727051E-4	
0.75	0.228563405818097	0.00138522187062512	0.229679081569331	0.00175590774553039		0.75	0.167355268544843	5.42718089239856E-4	0.166809424118199	5.36002149738725E-4		0.95	0.24128596555991	0.00160007387567144	0.240331818410077	0.00108439975405283		0.95	0.220575602151507	0.00156889896525631	0.220683786790453	0.00148115413862128		0.9	0.174505478488159	5.96230949844115E-4	0.17308038251809	6.42881779550967E-4	
